compound,date,neg,neu,pos,time,tweets ago,user
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 09:39:33 +0000 2018,24,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 09:39:27 +0000 2018,25,@BBC
0.2732,2018-03-03,0.0,0.896,0.104,Sat Mar 03 09:00:07 +0000 2018,26,@BBC
-0.4767,2018-03-02,0.193,0.807,0.0,Fri Mar 02 20:35:03 +0000 2018,27,@BBC
0.4588,2018-03-02,0.0,0.833,0.167,Fri Mar 02 19:00:09 +0000 2018,28,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 18:00:11 +0000 2018,29,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 17:30:03 +0000 2018,30,@BBC
0.9184,2018-03-02,0.0,0.546,0.454,Fri Mar 02 15:43:22 +0000 2018,31,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 15:03:04 +0000 2018,32,@BBC
0.7684,2018-03-02,0.0,0.647,0.353,Fri Mar 02 14:30:11 +0000 2018,33,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 14:03:04 +0000 2018,34,@BBC
-0.5095,2018-03-02,0.215,0.785,0.0,Fri Mar 02 13:00:04 +0000 2018,35,@BBC
-0.5574,2018-03-02,0.286,0.714,0.0,Fri Mar 02 12:00:05 +0000 2018,36,@BBC
0.6908,2018-03-02,0.0,0.737,0.263,Fri Mar 02 10:53:03 +0000 2018,37,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 10:09:18 +0000 2018,38,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 10:09:01 +0000 2018,39,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 10:08:18 +0000 2018,40,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 10:07:52 +0000 2018,41,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 10:06:53 +0000 2018,42,@BBC
0.69,2018-03-02,0.0,0.769,0.231,Fri Mar 02 10:05:43 +0000 2018,43,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 10:02:04 +0000 2018,44,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 09:00:07 +0000 2018,45,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 08:30:16 +0000 2018,46,@BBC
0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 08:00:06 +0000 2018,47,@BBC
0.802,2018-03-01,0.0,0.714,0.286,Thu Mar 01 21:43:00 +0000 2018,48,@BBC
-0.3818,2018-03-01,0.126,0.874,0.0,Thu Mar 01 21:38:00 +0000 2018,49,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 21:24:36 +0000 2018,50,@BBC
0.7712,2018-03-01,0.0,0.511,0.489,Thu Mar 01 21:10:00 +0000 2018,51,@BBC
0.9081,2018-03-01,0.0,0.617,0.383,Thu Mar 01 21:09:31 +0000 2018,52,@BBC
0.5859,2018-03-01,0.0,0.769,0.231,Thu Mar 01 21:08:00 +0000 2018,53,@BBC
0.2003,2018-03-01,0.087,0.796,0.117,Thu Mar 01 20:59:18 +0000 2018,54,@BBC
0.4404,2018-03-01,0.0,0.805,0.195,Thu Mar 01 20:57:46 +0000 2018,55,@BBC
0.6249,2018-03-01,0.0,0.788,0.212,Thu Mar 01 20:56:26 +0000 2018,56,@BBC
0.6249,2018-03-01,0.0,0.758,0.242,Thu Mar 01 19:31:00 +0000 2018,57,@BBC
-0.1779,2018-03-01,0.178,0.672,0.15,Thu Mar 01 19:00:09 +0000 2018,58,@BBC
0.9118,2018-03-01,0.0,0.508,0.492,Thu Mar 01 18:22:04 +0000 2018,59,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 18:00:01 +0000 2018,60,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 17:30:05 +0000 2018,61,@BBC
-0.852,2018-03-01,0.307,0.693,0.0,Thu Mar 01 16:30:58 +0000 2018,62,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 16:30:09 +0000 2018,63,@BBC
0.5994,2018-03-01,0.0,0.813,0.187,Thu Mar 01 16:00:19 +0000 2018,64,@BBC
0.0258,2018-03-01,0.137,0.722,0.141,Thu Mar 01 15:30:14 +0000 2018,65,@BBC
0.5859,2018-03-01,0.0,0.84,0.16,Thu Mar 01 14:52:36 +0000 2018,66,@BBC
0.2023,2018-03-01,0.0,0.921,0.079,Thu Mar 01 14:46:39 +0000 2018,67,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 14:33:04 +0000 2018,68,@BBC
0.4019,2018-03-01,0.0,0.876,0.124,Thu Mar 01 13:30:10 +0000 2018,69,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 12:49:53 +0000 2018,70,@BBC
-0.6369,2018-03-01,0.206,0.794,0.0,Thu Mar 01 12:30:03 +0000 2018,71,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 11:35:28 +0000 2018,72,@BBC
-0.128,2018-03-01,0.059,0.941,0.0,Thu Mar 01 11:33:04 +0000 2018,73,@BBC
-0.25,2018-03-01,0.087,0.913,0.0,Thu Mar 01 11:03:04 +0000 2018,74,@BBC
0.5719,2018-03-01,0.0,0.791,0.209,Thu Mar 01 10:03:00 +0000 2018,75,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 10:02:56 +0000 2018,76,@BBC
-0.0772,2018-03-01,0.085,0.915,0.0,Thu Mar 01 10:02:51 +0000 2018,77,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 10:02:31 +0000 2018,78,@BBC
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 09:00:08 +0000 2018,79,@BBC
-0.4019,2018-03-01,0.13,0.87,0.0,Thu Mar 01 08:30:10 +0000 2018,80,@BBC
-0.6249,2018-03-01,0.339,0.661,0.0,Thu Mar 01 08:00:03 +0000 2018,81,@BBC
0.3818,2018-03-01,0.0,0.88,0.12,Thu Mar 01 07:47:13 +0000 2018,82,@BBC
-0.7351,2018-02-28,0.379,0.426,0.195,Wed Feb 28 20:03:03 +0000 2018,83,@BBC
0.0,2018-02-28,0.0,1.0,0.0,Wed Feb 28 19:00:04 +0000 2018,84,@BBC
0.0,2018-02-28,0.0,1.0,0.0,Wed Feb 28 18:33:04 +0000 2018,85,@BBC
0.0,2018-02-28,0.0,1.0,0.0,Wed Feb 28 18:00:10 +0000 2018,86,@BBC
0.1007,2018-02-28,0.102,0.781,0.117,Wed Feb 28 17:43:33 +0000 2018,87,@BBC
0.5106,2018-02-28,0.0,0.845,0.155,Wed Feb 28 17:00:17 +0000 2018,88,@BBC
0.4912,2018-02-28,0.0,0.827,0.173,Wed Feb 28 16:50:43 +0000 2018,89,@BBC
0.7269,2018-02-28,0.0,0.724,0.276,Wed Feb 28 16:31:36 +0000 2018,90,@BBC
0.0,2018-02-28,0.0,1.0,0.0,Wed Feb 28 15:10:01 +0000 2018,91,@BBC
-0.4939,2018-02-28,0.219,0.781,0.0,Wed Feb 28 14:41:44 +0000 2018,92,@BBC
0.5267,2018-02-28,0.0,0.871,0.129,Wed Feb 28 13:48:26 +0000 2018,93,@BBC
0.0,2018-02-28,0.0,1.0,0.0,Wed Feb 28 13:30:06 +0000 2018,94,@BBC
0.0,2018-02-28,0.0,1.0,0.0,Wed Feb 28 12:30:04 +0000 2018,95,@BBC
0.0,2018-02-28,0.0,1.0,0.0,Wed Feb 28 10:23:28 +0000 2018,96,@BBC
-0.4019,2018-02-28,0.137,0.863,0.0,Wed Feb 28 10:17:25 +0000 2018,97,@BBC
0.765,2018-02-28,0.0,0.577,0.423,Wed Feb 28 09:00:05 +0000 2018,98,@BBC
0.5994,2018-02-28,0.0,0.782,0.218,Wed Feb 28 08:37:52 +0000 2018,99,@BBC
0.6597,2018-02-28,0.0,0.787,0.213,Wed Feb 28 08:37:43 +0000 2018,100,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 20:55:20 +0000 2018,1,@CBS
0.7096,2018-03-02,0.0,0.753,0.247,Fri Mar 02 22:30:01 +0000 2018,2,@CBS
0.7096,2018-03-02,0.0,0.718,0.282,Fri Mar 02 20:30:01 +0000 2018,3,@CBS
0.4939,2018-03-02,0.0,0.849,0.151,Fri Mar 02 18:45:00 +0000 2018,4,@CBS
-0.6981,2018-03-01,0.21,0.79,0.0,Thu Mar 01 18:59:01 +0000 2018,5,@CBS
0.4547,2018-03-01,0.092,0.749,0.159,Thu Mar 01 18:12:57 +0000 2018,6,@CBS
0.8591,2018-03-01,0.0,0.462,0.538,Thu Mar 01 18:11:50 +0000 2018,7,@CBS
0.4885,2018-03-01,0.151,0.615,0.234,Thu Mar 01 18:10:50 +0000 2018,8,@CBS
0.5994,2018-03-01,0.0,0.822,0.178,Thu Mar 01 14:36:21 +0000 2018,9,@CBS
0.7717,2018-03-01,0.0,0.675,0.325,Thu Mar 01 14:29:20 +0000 2018,10,@CBS
0.6908,2018-03-01,0.0,0.725,0.275,Thu Mar 01 14:15:29 +0000 2018,11,@CBS
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 13:50:11 +0000 2018,12,@CBS
0.0,2018-03-01,0.0,1.0,0.0,Thu Mar 01 01:04:52 +0000 2018,13,@CBS
0.0,2018-02-28,0.0,1.0,0.0,Wed Feb 28 19:56:58 +0000 2018,14,@CBS
0.4404,2018-02-28,0.0,0.884,0.116,Wed Feb 28 19:08:30 +0000 2018,15,@CBS
0.5562,2018-02-27,0.0,0.848,0.152,Tue Feb 27 03:23:47 +0000 2018,16,@CBS
0.0,2018-02-26,0.0,1.0,0.0,Mon Feb 26 22:50:32 +0000 2018,17,@CBS
0.0,2018-02-26,0.0,1.0,0.0,Mon Feb 26 21:08:30 +0000 2018,18,@CBS
0.4482,2018-02-26,0.0,0.895,0.105,Mon Feb 26 19:53:41 +0000 2018,19,@CBS
0.784,2018-02-26,0.0,0.734,0.266,Mon Feb 26 18:32:36 +0000 2018,20,@CBS
0.9359,2018-02-26,0.0,0.571,0.429,Mon Feb 26 18:20:16 +0000 2018,21,@CBS
-0.5423,2018-02-26,0.184,0.816,0.0,Mon Feb 26 16:53:56 +0000 2018,22,@CBS
0.0,2018-02-26,0.0,1.0,0.0,Mon Feb 26 16:52:01 +0000 2018,23,@CBS
0.0,2018-02-26,0.0,1.0,0.0,Mon Feb 26 16:17:55 +0000 2018,24,@CBS
0.7644,2018-02-26,0.0,0.769,0.231,Mon Feb 26 01:12:32 +0000 2018,25,@CBS
0.0,2018-02-25,0.0,1.0,0.0,Sun Feb 25 21:51:32 +0000 2018,26,@CBS
0.0,2018-02-25,0.0,1.0,0.0,Sun Feb 25 21:51:22 +0000 2018,27,@CBS
0.5093,2018-02-23,0.0,0.845,0.155,Fri Feb 23 18:15:40 +0000 2018,28,@CBS
0.0,2018-02-22,0.0,1.0,0.0,Thu Feb 22 19:26:52 +0000 2018,29,@CBS
0.0,2018-02-21,0.0,1.0,0.0,Wed Feb 21 19:20:04 +0000 2018,30,@CBS
0.6808,2018-02-21,0.0,0.752,0.248,Wed Feb 21 18:19:25 +0000 2018,31,@CBS
0.4404,2018-02-20,0.0,0.884,0.116,Tue Feb 20 19:55:19 +0000 2018,32,@CBS
-0.4019,2018-02-20,0.119,0.881,0.0,Tue Feb 20 17:58:18 +0000 2018,33,@CBS
0.3612,2018-02-20,0.0,0.872,0.128,Tue Feb 20 17:39:51 +0000 2018,34,@CBS
0.6124,2018-02-17,0.0,0.773,0.227,Sat Feb 17 01:07:20 +0000 2018,35,@CBS
0.3182,2018-02-16,0.0,0.892,0.108,Fri Feb 16 18:42:43 +0000 2018,36,@CBS
0.68,2018-02-16,0.0,0.752,0.248,Fri Feb 16 17:48:20 +0000 2018,37,@CBS
0.8619,2018-02-14,0.0,0.534,0.466,Wed Feb 14 19:23:27 +0000 2018,38,@CBS
0.0,2018-02-13,0.0,1.0,0.0,Tue Feb 13 20:03:56 +0000 2018,39,@CBS
0.7506,2018-02-13,0.0,0.748,0.252,Tue Feb 13 18:54:52 +0000 2018,40,@CBS
0.0,2018-02-12,0.0,1.0,0.0,Mon Feb 12 18:49:45 +0000 2018,41,@CBS
0.0,2018-02-12,0.0,1.0,0.0,Mon Feb 12 01:32:33 +0000 2018,42,@CBS
0.8478,2018-02-09,0.0,0.696,0.304,Fri Feb 09 00:50:01 +0000 2018,43,@CBS
-0.5859,2018-02-08,0.186,0.814,0.0,Thu Feb 08 16:09:35 +0000 2018,44,@CBS
0.0516,2018-02-07,0.0,0.934,0.066,Wed Feb 07 18:35:19 +0000 2018,45,@CBS
0.5574,2018-02-07,0.152,0.536,0.312,Wed Feb 07 16:17:48 +0000 2018,46,@CBS
0.0,2018-02-06,0.0,1.0,0.0,Tue Feb 06 22:21:39 +0000 2018,47,@CBS
0.0772,2018-02-06,0.106,0.773,0.121,Tue Feb 06 17:05:49 +0000 2018,48,@CBS
0.0,2018-02-04,0.0,1.0,0.0,Sun Feb 04 15:35:36 +0000 2018,49,@CBS
0.1531,2018-02-04,0.0,0.882,0.118,Sun Feb 04 12:00:01 +0000 2018,50,@CBS
0.0,2018-02-03,0.0,1.0,0.0,Sat Feb 03 23:11:43 +0000 2018,51,@CBS
0.8268,2018-02-03,0.0,0.662,0.338,Sat Feb 03 12:00:07 +0000 2018,52,@CBS
-0.0772,2018-02-02,0.075,0.925,0.0,Fri Feb 02 22:36:13 +0000 2018,53,@CBS
0.4019,2018-02-02,0.0,0.856,0.144,Fri Feb 02 20:07:40 +0000 2018,54,@CBS
0.4003,2018-02-02,0.0,0.876,0.124,Fri Feb 02 19:03:33 +0000 2018,55,@CBS
0.6114,2018-02-02,0.0,0.834,0.166,Fri Feb 02 17:23:18 +0000 2018,56,@CBS
0.0,2018-02-01,0.0,1.0,0.0,Thu Feb 01 22:04:41 +0000 2018,57,@CBS
0.0,2018-02-01,0.0,1.0,0.0,Thu Feb 01 20:09:49 +0000 2018,58,@CBS
0.1139,2018-01-31,0.0,0.912,0.088,Wed Jan 31 21:42:15 +0000 2018,59,@CBS
0.1007,2018-01-31,0.115,0.75,0.135,Wed Jan 31 17:05:47 +0000 2018,60,@CBS
0.4588,2018-01-31,0.0,0.812,0.188,Wed Jan 31 16:37:17 +0000 2018,61,@CBS
0.1779,2018-01-31,0.095,0.779,0.126,Wed Jan 31 06:55:30 +0000 2018,62,@CBS
-0.2263,2018-01-31,0.252,0.569,0.179,Wed Jan 31 02:15:16 +0000 2018,63,@CBS
-0.4767,2018-01-31,0.256,0.744,0.0,Wed Jan 31 01:58:40 +0000 2018,64,@CBS
0.4939,2018-01-31,0.119,0.625,0.256,Wed Jan 31 01:52:46 +0000 2018,65,@CBS
0.5093,2018-01-31,0.0,0.81,0.19,Wed Jan 31 01:49:43 +0000 2018,66,@CBS
0.8261,2018-01-31,0.0,0.566,0.434,Wed Jan 31 01:31:27 +0000 2018,67,@CBS
0.8309,2018-01-31,0.0,0.586,0.414,Wed Jan 31 01:29:10 +0000 2018,68,@CBS
0.6588,2018-01-31,0.0,0.614,0.386,Wed Jan 31 01:24:16 +0000 2018,69,@CBS
-0.5106,2018-01-31,0.398,0.602,0.0,Wed Jan 31 01:18:37 +0000 2018,70,@CBS
0.0,2018-01-31,0.0,1.0,0.0,Wed Jan 31 01:17:37 +0000 2018,71,@CBS
0.7525,2018-01-31,0.0,0.651,0.349,Wed Jan 31 01:16:15 +0000 2018,72,@CBS
0.0,2018-01-31,0.0,1.0,0.0,Wed Jan 31 01:08:01 +0000 2018,73,@CBS
0.8516,2018-01-31,0.0,0.42,0.58,Wed Jan 31 01:04:34 +0000 2018,74,@CBS
0.8442,2018-01-31,0.0,0.649,0.351,Wed Jan 31 01:00:35 +0000 2018,75,@CBS
0.923,2018-01-31,0.0,0.594,0.406,Wed Jan 31 00:55:04 +0000 2018,76,@CBS
0.5994,2018-01-31,0.0,0.794,0.206,Wed Jan 31 00:37:20 +0000 2018,77,@CBS
0.8834,2018-01-31,0.0,0.593,0.407,Wed Jan 31 00:11:53 +0000 2018,78,@CBS
0.8553,2018-01-30,0.0,0.724,0.276,Tue Jan 30 23:35:01 +0000 2018,79,@CBS
0.8553,2018-01-30,0.0,0.694,0.306,Tue Jan 30 21:19:22 +0000 2018,80,@CBS
0.9215,2018-01-30,0.0,0.609,0.391,Tue Jan 30 18:46:04 +0000 2018,81,@CBS
0.0,2018-01-30,0.0,1.0,0.0,Tue Jan 30 16:00:02 +0000 2018,82,@CBS
0.5994,2018-01-30,0.0,0.813,0.187,Tue Jan 30 04:03:31 +0000 2018,83,@CBS
0.6908,2018-01-30,0.0,0.711,0.289,Tue Jan 30 03:17:51 +0000 2018,84,@CBS
0.0,2018-01-30,0.0,1.0,0.0,Tue Jan 30 02:12:15 +0000 2018,85,@CBS
-0.296,2018-01-30,0.115,0.885,0.0,Tue Jan 30 01:29:06 +0000 2018,86,@CBS
0.0,2018-01-30,0.0,1.0,0.0,Tue Jan 30 00:11:05 +0000 2018,87,@CBS
0.3818,2018-01-29,0.0,0.885,0.115,Mon Jan 29 22:45:21 +0000 2018,88,@CBS
0.5093,2018-01-29,0.079,0.758,0.162,Mon Jan 29 22:10:15 +0000 2018,89,@CBS
0.0,2018-01-29,0.0,1.0,0.0,Mon Jan 29 20:00:04 +0000 2018,90,@CBS
0.7783,2018-01-29,0.0,0.714,0.286,Mon Jan 29 19:00:05 +0000 2018,91,@CBS
0.9259,2018-01-29,0.0,0.558,0.442,Mon Jan 29 18:00:02 +0000 2018,92,@CBS
0.0,2018-01-29,0.0,1.0,0.0,Mon Jan 29 17:15:04 +0000 2018,93,@CBS
0.5106,2018-01-29,0.0,0.837,0.163,Mon Jan 29 16:00:05 +0000 2018,94,@CBS
0.1531,2018-01-29,0.0,0.914,0.086,Mon Jan 29 15:00:03 +0000 2018,95,@CBS
0.3182,2018-01-29,0.123,0.741,0.136,Mon Jan 29 14:00:02 +0000 2018,96,@CBS
0.6597,2018-01-29,0.0,0.707,0.293,Mon Jan 29 13:00:01 +0000 2018,97,@CBS
0.0,2018-01-29,0.0,1.0,0.0,Mon Jan 29 12:00:03 +0000 2018,98,@CBS
0.0,2018-01-29,0.0,1.0,0.0,Mon Jan 29 08:18:18 +0000 2018,99,@CBS
0.5719,2018-01-29,0.0,0.73,0.27,Mon Jan 29 07:40:26 +0000 2018,100,@CBS
0.1134,2018-03-03,0.223,0.521,0.256,Sat Mar 03 22:00:36 +0000 2018,1,@CNN
0.4019,2018-03-03,0.0,0.876,0.124,Sat Mar 03 21:45:06 +0000 2018,2,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 21:30:08 +0000 2018,3,@CNN
-0.5994,2018-03-03,0.262,0.738,0.0,Sat Mar 03 21:15:07 +0000 2018,4,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 21:00:15 +0000 2018,5,@CNN
0.1531,2018-03-03,0.108,0.76,0.132,Sat Mar 03 20:46:02 +0000 2018,6,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 20:31:03 +0000 2018,7,@CNN
-0.6486,2018-03-03,0.177,0.823,0.0,Sat Mar 03 20:17:29 +0000 2018,8,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 20:15:07 +0000 2018,9,@CNN
-0.3182,2018-03-03,0.133,0.867,0.0,Sat Mar 03 20:00:19 +0000 2018,10,@CNN
0.7876,2018-03-03,0.0,0.668,0.332,Sat Mar 03 19:45:05 +0000 2018,11,@CNN
-0.5994,2018-03-03,0.253,0.642,0.106,Sat Mar 03 19:30:12 +0000 2018,12,@CNN
-0.2732,2018-03-03,0.13,0.87,0.0,Sat Mar 03 19:15:05 +0000 2018,13,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 19:00:19 +0000 2018,14,@CNN
0.4939,2018-03-03,0.109,0.659,0.233,Sat Mar 03 18:45:09 +0000 2018,15,@CNN
-0.8316,2018-03-03,0.355,0.645,0.0,Sat Mar 03 18:30:05 +0000 2018,16,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 18:15:16 +0000 2018,17,@CNN
0.4019,2018-03-03,0.0,0.847,0.153,Sat Mar 03 18:00:24 +0000 2018,18,@CNN
-0.8126,2018-03-03,0.433,0.567,0.0,Sat Mar 03 17:45:07 +0000 2018,19,@CNN
-0.4767,2018-03-03,0.14,0.86,0.0,Sat Mar 03 17:41:40 +0000 2018,20,@CNN
-0.765,2018-03-03,0.306,0.694,0.0,Sat Mar 03 17:30:09 +0000 2018,21,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 17:24:04 +0000 2018,22,@CNN
-0.6954,2018-03-03,0.291,0.63,0.078,Sat Mar 03 17:15:39 +0000 2018,23,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 17:03:04 +0000 2018,24,@CNN
-0.8225,2018-03-03,0.336,0.664,0.0,Sat Mar 03 16:45:09 +0000 2018,25,@CNN
0.4939,2018-03-03,0.0,0.738,0.262,Sat Mar 03 16:30:15 +0000 2018,26,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 16:15:03 +0000 2018,27,@CNN
0.4939,2018-03-03,0.0,0.842,0.158,Sat Mar 03 16:00:18 +0000 2018,28,@CNN
-0.34,2018-03-03,0.194,0.806,0.0,Sat Mar 03 15:45:05 +0000 2018,29,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 15:32:13 +0000 2018,30,@CNN
-0.34,2018-03-03,0.156,0.844,0.0,Sat Mar 03 14:30:12 +0000 2018,31,@CNN
-0.5994,2018-03-03,0.245,0.755,0.0,Sat Mar 03 14:00:40 +0000 2018,32,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 13:30:16 +0000 2018,33,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 13:00:13 +0000 2018,34,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 12:31:06 +0000 2018,35,@CNN
0.3612,2018-03-03,0.0,0.783,0.217,Sat Mar 03 12:00:35 +0000 2018,36,@CNN
0.3612,2018-03-03,0.0,0.762,0.238,Sat Mar 03 11:30:12 +0000 2018,37,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 11:00:23 +0000 2018,38,@CNN
0.7964,2018-03-03,0.0,0.664,0.336,Sat Mar 03 10:31:06 +0000 2018,39,@CNN
0.5574,2018-03-03,0.077,0.663,0.26,Sat Mar 03 10:00:35 +0000 2018,40,@CNN
-0.7783,2018-03-03,0.264,0.736,0.0,Sat Mar 03 09:28:03 +0000 2018,41,@CNN
0.4215,2018-03-03,0.0,0.891,0.109,Sat Mar 03 09:01:18 +0000 2018,42,@CNN
-0.3818,2018-03-03,0.133,0.867,0.0,Sat Mar 03 08:31:26 +0000 2018,43,@CNN
-0.296,2018-03-03,0.109,0.891,0.0,Sat Mar 03 08:00:22 +0000 2018,44,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 07:28:05 +0000 2018,45,@CNN
0.3182,2018-03-03,0.0,0.901,0.099,Sat Mar 03 07:00:31 +0000 2018,46,@CNN
0.6597,2018-03-03,0.0,0.779,0.221,Sat Mar 03 06:33:36 +0000 2018,47,@CNN
-0.296,2018-03-03,0.099,0.901,0.0,Sat Mar 03 06:19:49 +0000 2018,48,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 06:00:13 +0000 2018,49,@CNN
-0.25,2018-03-03,0.216,0.568,0.216,Sat Mar 03 05:30:05 +0000 2018,50,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 04:59:07 +0000 2018,51,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 04:28:06 +0000 2018,52,@CNN
0.3832,2018-03-03,0.134,0.645,0.221,Sat Mar 03 04:00:22 +0000 2018,53,@CNN
-0.4404,2018-03-03,0.153,0.847,0.0,Sat Mar 03 03:29:03 +0000 2018,54,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 03:00:07 +0000 2018,55,@CNN
0.4019,2018-03-03,0.0,0.787,0.213,Sat Mar 03 02:32:06 +0000 2018,56,@CNN
-0.2263,2018-03-03,0.106,0.894,0.0,Sat Mar 03 02:07:03 +0000 2018,57,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 01:55:55 +0000 2018,58,@CNN
0.6826,2018-03-03,0.08,0.653,0.268,Sat Mar 03 01:44:32 +0000 2018,59,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 01:32:17 +0000 2018,60,@CNN
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 01:21:03 +0000 2018,61,@CNN
0.2732,2018-03-03,0.0,0.826,0.174,Sat Mar 03 01:10:22 +0000 2018,62,@CNN
0.6808,2018-03-03,0.0,0.728,0.272,Sat Mar 03 00:59:35 +0000 2018,63,@CNN
-0.296,2018-03-03,0.155,0.845,0.0,Sat Mar 03 00:49:04 +0000 2018,64,@CNN
